web-scraper-order,web-scraper-start-url,fecha,Hora,Condiciones meteorológicas,Tem,Viento,Hum,Presión,pagination
"1680688115-328","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","14:00","Nubes dispersas","23°","33 km/h","73%","1010 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-329","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","14:30","Parcialmente cubierto","23°","28 km/h","73%","1010 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-330","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","15:00","Parcialmente cubierto","23°","9 km/h","61%","1010 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-331","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","15:30","Lluvia ligera","23°","6 km/h","73%","1009 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-332","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","16:00","Parcialmente cubierto","22°","28 km/h","83%","1009 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-333","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","16:30","Lluvia ligera","21°","24 km/h","94%","1009 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-334","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","17:00","Parcialmente cubierto","21°","30 km/h","94%","1009 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-335","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","17:30","Parcialmente cubierto","21°","30 km/h","88%","1009 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-336","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","18:00","Parcialmente cubierto","22°","32 km/h","83%","1009 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-337","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","18:30","Lluvia ligera","21°","30 km/h","94%","1009 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-338","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","19:00","Parcialmente cubierto","21°","32 km/h","94%","1008 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-339","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","19:30","Parcialmente cubierto","22°","44 km/h","88%","1008 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-340","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","20:00","Parcialmente cubierto","22°","33 > 52 km/h","88%","1009 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-341","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","20:30","Lluvia ligera","22°","37 km/h","88%","1009 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-342","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","21:00","Parcialmente cubierto","22°","35 km/h","88%","1009 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-343","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","21:30","Parcialmente cubierto","22°","19 km/h","88%","1009 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-344","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","22:00","Parcialmente cubierto","22°","19 km/h","88%","1009 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-345","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","22:30","Parcialmente cubierto","21°","4 km/h","73%","1009 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-346","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","23:00","Parcialmente cubierto","21°","6 km/h","83%","1009 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688115-347","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Miércoles 7 Diciembre 2022","23:30","Parcialmente cubierto","22°","11 > 32 km/h","83%","1009 hPa","https://www.tutiempo.net/registros/gclp/7-diciembre-2022.html"
"1680688118-348","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","00:00","Lluvia ligera","22°","13 km/h","88%","1010 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-349","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","null","null","null","null","null","null","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-350","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","00:30","Mayormente cubierto","21°","4 km/h","83%","1009 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-351","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","01:00","Lluvia","21°","2 km/h","88%","1010 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-352","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","01:05","Lluvia","21°","7 km/h","94%","1009 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-353","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","01:22","Lluvia ligera","21°","2 km/h","94%","1009 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-354","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","01:30","Lluvia","20°","7 km/h","100%","1009 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-355","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","02:00","Parcialmente cubierto","20°","6 km/h","100%","1009 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-356","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","02:30","Parcialmente cubierto","21°","4 km/h","88%","1009 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-357","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","03:00","Parcialmente cubierto","20°","2 km/h","94%","1008 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-358","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","03:30","Parcialmente cubierto","20°","En calma","94%","1008 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-359","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","04:00","Nubes dispersas","20°","7 km/h","94%","1008 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-360","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","04:30","Nubes dispersas","20°","7 km/h","94%","1008 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-361","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","05:00","Nubes dispersas","20°","4 km/h","94%","1008 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-362","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","05:30","Nubes dispersas","20°","6 km/h","88%","1008 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-363","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","06:00","Nubes dispersas","21°","2 km/h","88%","1008 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-364","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","06:30","Nubes dispersas","21°","6 km/h","88%","1008 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-365","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","07:00","Nubes dispersas","20°","7 km/h","94%","1009 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-366","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","07:30","Parcialmente cubierto","21°","13 km/h","94%","1009 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-367","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","08:00","Nubes dispersas","21°","13 km/h","94%","1009 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-368","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","08:30","Parcialmente cubierto","21°","11 km/h","94%","1010 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-369","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","09:00","Parcialmente cubierto","22°","9 km/h","88%","1010 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-370","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","09:30","Nubes dispersas","22°","4 km/h","88%","1010 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-371","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","10:00","Nubes dispersas","22°","2 km/h","88%","1010 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-372","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","10:30","Nubes dispersas","22°","6 km/h","88%","1010 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
"1680688118-373","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 8 Diciembre 2022","11:00","Nubes dispersas","22°","7 km/h","88%","1011 hPa","https://www.tutiempo.net/registros/gclp/8-diciembre-2022.html"
