Tipo de actividad;Distancia;Calorias;Tiempo;Frecuencia cardiaca media;TE aerobico;Cadencia de carrera media;Ritmo medio;Ascenso total;Descenso total;Longitud media de zancada;Temperatura minima;Temperatura maxima;Altura minima;Altura maxima
Trail running;9.11;764;0:50:30;160;3.7;168;5:32;169;184;1.07;22.0;29.0;355;528
Trail running;26.07;2,081;4:12:38;126;2.8;105;9:41;1,334;1,337;0.98;17.0;28.0;840;1931
Trail running;15.50;1,125;1:38:33;150;3.5;158;6:22;283;289;1.00;22.0;28.0;247;530
Carrera;4.03;324;0:24:19;142;2.5;166;6:02;70;53;1.00;24.0;28.0;486;532
Carrera;11.03;830;0:58:15;153;3.4;172;5:17;153;154;1.10;22.0;26.0;408;457
Trail running;15.01;1,299;2:12:12;142;3.4;124;8:49;610;613;0.92;22.0;30.0;339;567
Carrera;5.02;401;0:31:56;141;2.4;160;6:22;69;73;0.98;26.0;29.0;435;479
Trail running;10.01;859;1:32:42;141;3.4;129;9:16;370;409;0.84;21.0;28.0;358;589
Trail running;18.00;1,563;2:19:16;147;3.2;138;7:44;730;746;0.94;21.0;29.0;325;742
Trail running;12.00;1,108;1:21:36;154;3.6;151;6:48;342;347;0.97;22.0;27.0;406;529
Trail running;12.00;1,145;1:18:31;157;3.9;158;6:33;350;351;0.97;20.0;25.0;394;512
Carrera;5.02;383;0:24:32;163;3.4;176;4:53;69;95;1.16;23.0;27.0;492;525
Trail running;9.04;915;1:16:12;150;3.4;132;8:26;388;383;0.90;22.0;27.0;369;613
Carrera;5.01;415;0:30:06;148;3.0;165;6:01;59;53;1.00;25.0;27.0;472;506
Trail running;25.00;2,049;4:10:16;127;2.9;107;10:01;1,358;1,381;0.93;14.0;24.0;807;1903
Carrera;8.00;717;0:43:09;0;--;167;5:23;99;104;1.11;21.0;25.0;426;472
Trail running;18.00;1,407;3:24:53;0;--;105;11:23;1,179;1,182;0.84;19.0;26.0;773;1519
Carrera;4.19;356;0:24:29;155;3.0;171;5:50;83;116;1.00;20.0;27.0;450;555
Carrera;12.69;934;1:10:50;156;3.9;161;5:35;125;125;1.09;21.0;26.0;475;508
Carrera;7.20;523;0:42:39;144;2.6;170;5:56;108;134;0.99;22.0;26.0;476;560
Trail running;14.84;1,317;1:41:39;150;3.5;157;6:51;279;282;0.93;21.0;28.0;245;528
Carrera;12.00;1,02;1:07:35;164;4.2;172;5:38;128;141;1.03;21.0;28.0;478;514
Trail running;15.01;1,229;1:37:53;151;3.4;162;6:31;245;259;0.95;19.0;29.0;353;528
Carrera;1.77;122;00:08:49.7;147;2.1;172;4:59;11;50;1.17;21.0;24.0;491;541
Trail running;11.41;1,279;1:24:28;165;4.6;139;7:24;578;583;0.97;21.0;31.0;770;1138
Trail running;12.68;1,234;2:10:48;139;3.2;111;10:19;698;702;0.87;19.0;26.0;462;921
Carrera;10.00;819;0:55:02;161;4.1;173;5:30;142;168;1.05;22.0;27.0;481;531
Trail running;15.02;1,165;1:29:26;153;3.7;166;5:57;245;264;1.01;18.0;26.0;329;515
Carrera;10.01;860;0:56:23;164;4.3;169;5:38;167;172;1.05;20.0;27.0;475;560
Trail running;7.57;724;0:53:07;152;3.4;147;7:01;178;371;0.97;22.0;27.0;419;783
